,Start date,End date,Country name,ISO,Location,Disaster type,Disaster subtype,Associated dis.,Associated dis2.,Total deaths,Total affected,Total damage,Insured loss,Disaster ID
22,00/07/1963,00/07/1963.1,Bangladesh,BGD,Unnamed: 4,Flood,--,--,--,30,--,--,--,1963-0069
23,00/10/1963,00/10/1963.1,Bangladesh,BGD,Unnamed: 4,Storm,Tropical cyclone,--,--,79,--,--,--,1963-0079
24,12/04/1964,12/04/1964.1,Bangladesh,BGD,Jessore district,Storm,Tropical cyclone,--,--,300,800,250,--,1964-0024
25,00/07/1964,00/07/1964.1,Bangladesh,BGD,"Rangpur, Comilla",Flood,--,--,--,--,1000000,5000,--,1964-0039
26,11/05/1965,11/05/1965.1,Bangladesh,BGD,Barisal district,Storm,Tropical cyclone,--,--,36000,15600000,57700,--,1965-0028
27,00/06/1965,00/06/1965.1,Bangladesh,BGD,Unnamed: 4,Storm,Tropical cyclone,--,--,12047,--,--,--,1965-0034
28,15/12/1965,15/12/1965.1,Bangladesh,BGD,Chittagong to Teknaf,Storm,Tropical cyclone,--,--,874,60000,--,--,1965-0068
29,00/06/1966,00/06/1966.1,Bangladesh,BGD,Sylhet,Flood,--,--,--,39,500000,1000,--,1966-0047
30,01/10/1966,01/10/1966.1,Bangladesh,BGD,"Chittagong, Sandwip",Storm,Tropical cyclone,--,--,850,1800000,22400,--,1966-0077
31,02/05/1967,02/05/1967.1,Bangladesh,BGD,Dacca,Storm,Tropical cyclone,--,--,50,200,--,--,1967-0034
32,00/10/1967,00/10/1967.1,Bangladesh,BGD,"South, near Cox's Bazar",Storm,Tropical cyclone,--,--,41,--,--,--,1967-0062
33,11/04/1968,11/04/1968.1,Bangladesh,BGD,"Madaripur, Faridpur",Storm,Tropical cyclone,--,--,118,16138,1500,--,1968-0040
34,00/07/1968,00/07/1968.1,Bangladesh,BGD,"Nationwide, 5 Northern districts",Flood,--,--,--,221,15889616,199400,--,1968-0054
35,14/04/1969,14/04/1969.1,Bangladesh,BGD,"Dacca, Comilla",Storm,Tropical cyclone,--,--,849,199473,8329,--,1969-0065
36,13/04/1970,13/04/1970.1,Bangladesh,BGD,Unnamed: 4,Storm,--,--,--,17,110,--,--,1970-0026
37,00/07/1970,00/07/1970.1,Bangladesh,BGD,Unnamed: 4,Flood,--,--,--,--,10000000,25000,--,1970-0035
38,23/10/1970,23/10/1970.1,Bangladesh,BGD,Bay of Bengal districts,Storm,--,--,--,300,--,--,--,1970-0058
39,12/11/1970,12/11/1970.1,Bangladesh,BGD,"Khulna, Chittagong",Storm,Tropical cyclone,--,--,300000,3648000,86400,--,1970-0063
40,08/05/1971,08/05/1971.1,Bangladesh,BGD,Coastal areas,Storm,Tropical cyclone,--,--,163,--,--,--,1971-0032
41,02/04/1972,02/04/1972.1,Bangladesh,BGD,Mymensingh,Storm,Convective storm,--,--,200,25000,--,--,1972-0026
42,25/06/1972,25/06/1972.1,Bangladesh,BGD,Sylhet,Flood,--,--,--,50,--,--,--,1972-0041
43,12/04/1973,12/04/1973.1,Bangladesh,BGD,Faridpur district,Storm,--,--,--,200,50000,--,--,1973-0023
44,09/12/1973,09/12/1973.1,Bangladesh,BGD,South coast,Storm,Tropical cyclone,--,--,1000,--,--,--,1973-0053
45,00/03/1973,00/03/1973.1,Bangladesh,BGD,Unnamed: 4,Flood,--,--,--,427,--,--,--,1973-0123
46,00/04/1973,00/04/1973.1,Bangladesh,BGD,Unnamed: 4,Storm,--,--,--,700,--,--,--,1973-0125
47,00/08/1973,00/08/1973.1,Bangladesh,BGD,Unnamed: 4,Flood,--,--,--,--,--,--,--,1973-0130
48,00/07/1974,00/07/1974.1,Bangladesh,BGD,Unnamed: 4,Flood,--,--,--,28700,38000000,579200,--,1974-0034
49,00/08/1974,00/08/1974.1,Bangladesh,BGD,Unnamed: 4,Storm,Tropical cyclone,--,--,2500,--,--,--,1974-0042
50,28/11/1974,28/11/1974.1,Bangladesh,BGD,"Coastal areas, off-shore Islands",Storm,Tropical cyclone,--,--,--,--,--,--,1974-0059
51,00/03/1974,00/03/1974.1,Bangladesh,BGD,Unnamed: 4,Storm,--,--,--,300,--,--,--,1974-0147
52,10/04/1976,10/04/1976.1,Bangladesh,BGD,Faridpur district,Storm,Convective storm,--,--,46,200,--,--,1976-0034
